animal_id	WaterLost_CB	OMLost_CB	CO2Lost_CB	Phosphates_CB	Mineral_CB	Phosphates/OM_CB	CO3/Phosphates_CB	WaterLost_MB	OMLost_MB	CO2Lost_MB	Phosphates_MB	Mineral_MB	Phosphates/OM_MB	CO3/Phosphates_MB
1093	10.34354	22.64501	4.14643	62.86502	67.01145	2.77611	9.89366	10.90635	47.9094	2.81928	38.36496	41.18424	0.80078	11.02287
1095	10.80489	22.88694	4.28473	62.02344	66.30817	2.70999	10.36236	9.95104	56.53802	2.29335	31.2176	33.51094	0.55215	11.01949
1098	10.92533	22.36669	4.45373	62.25424	66.70797	2.78335	10.73116	10.24107	49.92361	2.71199	37.12333	39.83533	0.7436	10.95804
1099	10.37239	23.18342	3.05986	63.38433	66.44419	2.73404	7.24121	10.80093	51.17115	2.9773	35.05062	38.02792	0.68497	12.74141
1101	11.20232	22.68426	4.29273	61.82069	66.11342	2.72527	10.41576	10.79023	55.26288	2.14394	31.80295	33.9469	0.57548	10.11199
1102	10.60922	22.32267	4.40219	62.66592	67.06811	2.80728	10.53727	9.22141	44.79513	3.07063	42.91282	45.98346	0.95798	10.73327
1105	9.2568	23.81062	3.42024	63.51234	66.93258	2.66739	8.07773	10.35022	49.50075	2.74963	37.3994	40.14903	0.75553	11.02809
1108	10.86108	22.1219	4.25368	62.76335	67.01702	2.83716	10.16599	11.17741	49.92615	2.45761	36.43883	38.89644	0.72985	10.11673
	10.68188	22.2176	4.26324	62.83728	67.10052	2.82827	10.17687	10.14591	38.12579	4.01006	47.71824	51.7283	1.2516	12.60544
1110	11.39357	22.96418	4.12111	61.52114	65.64225	2.679	10.04803	10.50725	52.41156	2.64532	34.43587	37.08119	0.65703	11.5228
1115	10.76257	22.12127	4.47094	62.64522	67.11615	2.8319	10.70538							
1116	11.16112	22.92943	4.06391	61.84554	65.90945	2.69721	9.85661	9.88169	46.79145	3.3869	39.93996	43.32686	0.85357	12.71996
1117	10.27553	23.89683	5.41054	60.4171	65.82764	2.52825	13.43296	9.94602	58.96707	2.27091	28.816	31.08691	0.48868	11.8211
1118	9.64184	23.92951	4.85868	61.56997	66.42865	2.57297	11.83697	10.57157	47.09402	2.62742	39.70699	42.33441	0.84314	9.92552
1120	10.22766	21.76437	5.1366	62.87137	68.00797	2.88873	12.25501	9.27704	58.89215	3.28545	28.54535	31.83081	0.48471	17.26439
1122	9.88668	22.87229	4.35716	62.88387	67.24103	2.74935	10.39335	8.96681	58.9237	2.77339	29.33611	32.1095	0.49787	14.18075
1123	9.34316	24.22198	3.08042	63.35445	66.43487	2.61558	7.2933	10.54977	43.24087	4.10443	42.10493	46.20936	0.97373	14.62215
